总台,#genre#
贺州新闻综合,http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8
来宾综合,http://zb.lbnews.com.cn:1935/live/lbzh.stream/playlist.m3u8
宾阳综合频道,https://rtmp.gdlive.gdmain.com/live/lgmzjyml.m3u8
巴马综合频道,https://rtmp.gdlive.gdmain.com/live/028exb80.m3u8
博白综合频道,https://live.gxrb.com.cn/hls/a22/index.m3u8
岑溪综合频道,https://rtmp.gdlive.gdmain.com/live/lnvz16z5.m3u8
东兰综合频道,https://rtmp.gdlive.gdmain.com/live/09aony85.m3u8
都安综合频道,https://rtmp.gdlive.gdmain.com/live/09em42ol.m3u8
灌阳综合频道,https://rtmp.gdlive.gdmain.com/live/0mdrvoo0.m3u8
横州综合频道,http://live.nnnews.net/video/s10004-hztv-hd/index.m3u8
凌云综合频道,https://rtmp.gdlive.gdmain.com/live/lj8xvv30.m3u8
隆安综合频道,https://hls.nntv.cn/nnlive/LATV_24.m3u8
那坡综合频道,https://rtmp.gdlive.gdmain.com/live/02vy7x7l.m3u8
融水电视台,https://rtmp.gdlive.gdmain.com/live/51daxxp5.m3u8
容县综合频道,https://live.gxrb.com.cn/gx/rongxian/index.m3u8
藤县综合频道,http://play.txdst.cn/live/txtv.m3u8
田东综合频道,https://rtmp.gdlive.gdmain.com/live/0dkp33j5.m3u8
资源综合频道,https://rtmp.gdlive.gdmain.com/live/5z4yjgm0.m3u8

贵州,#genre#
松桃融媒体中心,http://live.strmtzx.cn/stxw/playlist.m3u8

海南,#genre#
海南新闻,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000015/index.m3u8?IAS
海南公共,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000012/index.m3u8?IAS
海南少儿,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000014/index.m3u8?IAS
海南文旅,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000013/index.m3u8?IAS
海南自贸,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000011/index.m3u8?IAS

河北,#genre#
